lat,lon,wheelchair
55.8611718,37.4813356,1
55.6113563,37.5979901,0
55.7470387,37.5911545,0
55.7473456,37.5851869,1
55.7194176,37.8225964,1
55.7191007,37.8213625,1
55.7226518,37.8244188,0
55.7204771,37.817384,1
55.7237322,37.8286777,1
55.720953,37.8272434,1
55.7211593,37.8259663,1
55.7211972,37.8231636,0
55.7197881,37.8308037,1
55.7193053,37.8314431,1
55.7473746,37.817602,0
55.6727967,37.5489257,0
55.7843669,37.7189425,1
55.723774,37.8285643,0
55.7234817,37.8254406,0
55.751673,37.818253,0
55.751582,37.818878,0
55.751274,37.818077,0
55.751189,37.818662,0
55.7238069,37.8284298,0
55.7191433,37.8236237,0
55.7216815,37.5909235,1
55.615071,37.7072146,1
55.7358015,37.5923121,1
55.6498408,37.4030543,0
55.6518142,37.4000512,1
55.8225852,37.8236327,1
55.8599177,37.4484805,0
55.7732598,37.7109932,0
55.7695718,37.7138574,1
55.7661861,37.6214644,0
55.781043,37.7181631,0
55.7470862,37.8174153,0
55.8714686,37.6374374,1
55.8236888,37.8176046,1
55.6921003,37.5281268,1
55.8720289,37.66453,1
55.8088094,37.4616535,1
55.8040377,37.5151334,0
55.6929771,37.5525821,1
55.6949363,37.5550605,1
55.6930571,37.5582752,1
55.6918456,37.5604745,0
55.6115235,37.5909239,0
55.8237832,37.8196705,0
55.7411808,37.628376,0
55.738847,37.584427,1
55.7576901,37.6342989,1
55.6071007,37.5925675,0
55.8066275,37.504675,0
55.647856,37.4069663,0
55.6477906,37.4068832,0
55.6476467,37.4067301,0
55.647934,37.4070618,0
55.6537568,37.6230879,0
55.7786561,37.7268885,1
55.6073016,37.5927774,0
55.897823,37.594837,1
55.8199829,37.6410747,0
55.8196119,37.6406882,0
55.8202895,37.6399489,1
55.7828754,37.6638569,0
55.738611,37.4136294,1
55.6546603,37.3850562,0
55.6506233,37.4007297,1
55.6570029,37.390847,1
55.9092652,37.3974328,1
55.8951379,37.5912457,0
55.9077439,37.7190813,1
55.907126,37.7184053,1
55.7384035,37.7637383,0
55.8522332,37.6319047,1
55.7955236,37.6163058,0
55.8574297,37.4443719,0
55.8519131,37.4389829,0
55.6062431,37.3550749,1
55.754858,37.617345,0
55.7583717,37.6195803,1
55.7290986,37.6237445,0
55.6507124,37.3947842,0
55.6105963,37.6028597,0
55.6106105,37.6045247,0
55.6110892,37.6047268,0
55.6116771,37.6032058,0
55.5990658,37.6635541,0
55.5987003,37.6640102,1
55.7878076,37.7832952,0
55.8447593,37.6605186,1
55.8458174,37.6677058,1
55.7767346,37.6075106,0
55.7265585,37.5821937,1
55.8243458,37.5282108,1
55.7731854,37.6180841,0
55.873592,37.6653924,1
55.7330136,37.6658554,0
55.7667104,37.6107617,0
55.7658727,37.6077703,0
55.7656954,37.6040376,0
55.7660648,37.6082043,0
